taxon,year
silpha pellaeocephalos,1778
julus penicillatus,1778
conus pennaceus,1778
nerita pennata,1778
patella pentagona,1778
coccus persicae,1778
buccinum pertusum,1778
vespa petiolata,1778
acarus phalangii,1778
acarus phalangoides,1778
chama phrenitica,1778
helix picta,1778
mya pictoreum,1778
mytilus pictus,1778
pecten pictus,1778
turbo pictus,1778
araneaphalangium pini,1778
trigonella plana,1778
conus planorbis,1778
simia platypygos,1778
helix plicaria,1778
helix plicata,1778
patella plicata,1778
helix polygyrata,1778
oculus polyphemi,1778
buccinum porcatum,1778
balanus porcatus,1778
scotias psylloides,1778
murex pugilinus,1778
buccinum pullum,1778
musca pumilionis,1778
aranea punctata,1778
helix punctata,1778
scarabaeus punctatomarginatus,1778
cimex punctatonervosus,1778
scorpio punctatus,1778
tellina punicea,1778
spatangus purpureus,1778
buccinum purpurobuccinum,1778
cidaris pustulosa,1778
echinocorytes pustulosus,1778
scarabaeus quadratus,1778
scarabaeus quadridentatus,1778
aporrhais quadrifidus,1778
aranea quadrimaculata,1778
echinites quaterfasciatus,1778
echinodiscus quaterperforatus,1778
echinocorytes quaterradiatus,1778
sciurus quercinus,1778
coccus quercusroboris,1778
turbo quinquedentatus,1778
clypeus quinquelabiatus,1778
echinodiscus quinquiesperforatus,1778
cidaris radiata,1778
helix radiata,1778
patella radiata,1778
trigonella radiata,1778
murex rapiformis,1778
conus reticulatus,1778
cuneus reticulatus,1778
echinodiscus reticulatus,1778
strombiformis reticulatus,1778
tenebrio reticulatus,1778
acarus rhinocerotis,1778
arca rhombea,1778
acarus ricinoides,1778
ricinus,1778
venus rivularis,1778
phalaena roboris,1778
echinodiscus rosaceus,1778
scarabaeus ruber,1778
tellina rubra,1778
buprestis rubroaurea,1778
aranea rufa,1778
nerita rufa,1778
cochlea rufescens,1778
buprestis ruficaudis,1778
scarabaeus ruficollis,1778
sphex rufipennis,1778
aranealupus rufofasciata,1778
antipus rufus,1778
ichneumon rufus,1778
scarabaeus rufus,1778
tellina rugosa,1778
carabus rugosus,1778
murex rugosus,1778
cidaris rupestris,1778
turbo rupium,1778
aranea ruricola,1778
aranealupus ruricola,1778
cerambyx sanguinarius,1778
cimex sanguineus,1778
cidaris sardica,1778
brontias savogineus,1778
acarus scabiei,1778
ostrea scabra,1778
emberiza schoeniclus,1778
scotias,1778
arca scripta,1778
echinocorys scutatus,1778
echinoneus scutiformis,1778
lepisma semicylindrica,1778
cidaris setosa,1778
echinites sexiesfasciatus,1778
echinodiscus sexiesperforatus,1778
yerbua sibirica,1778
helix sinuata,1778
venus sinuata,1778
buccinum sinuatum,1778
clypeus sinuatus,1778
ostrea solaris,1778
helix solida,1778
spatangites,1778
spatangus,1778
lemur spectrum,1778
coccinella spheroidea,1778
sphinxadscita,1778
cidaris spinis,1778
coccus spurius,1778
actinia squamata,1778
acarus squamosus,1778
cidaris stellata,1778
scarabaeus stigma,1778
pectunculus striagutus,1778
spatangus striatoradiatus,1778
pectunculus striatulus,1778
dentalium striatum,1778
ostrea striatum,1778
turbo striatus,1778
strombiformis,1778
cidaris subangularis,1778
spatangus subglobosus,1778
echinodiscus subrotundus,1778
trigonella subtruncata,1778
echinites subuculus,1778
nerita sulcata,1778
ostrea sulcata,1778
buccinum sulcatum,1778
murex sulcatus,1778
pectunculus sulcatus,1778
spatangus sulciscrispis,1778
buccinum sulcosum,1778
acarus sylvaticus,1778
sciurus tamariscinus,1778
lepus tapeti,1778
yerbua tarsata,1778
ursus taxus,1778
cidaris tenuis,1778
tellina tenuis,1778
conus terebra,1778
serpula teredo,1778
cidaris tessellata,1778
conus tessulatus,1778
trochus tessulatus,1778
scorpio testaceus,1778
cimex testudogrisea,1778
cimex testudonigra,1778
araneacancroides tigrina,1778
lepus tolai,1778
scarabaeus tomentosus,1778
cidaris topasina,1778
turbo torcularis,1778
cidaris toreumatica,1778
echinites toreumaticus,1778
helix tornata,1778
turbo trianfractus,1778
aranea triangularispinosa,1778
scarabaeus tricornutus,1778
trigonella,1778
murex tripterus,1778
murex triqueter,1778
turbo trochiformis,1778
cuneus truncatus,1778
pectunculus truncatus,1778
aranea tuberculata,1778
doris tuberculata,1778
carabus tuberculatus,1778
curculio tuberculatus,1778
trochus tuberculatus,1778
anomia tunicacepae,1778
trochus turbinatus,1778
echinocyamus turcicus,1778
trochus umbilicalis,1778
aranea undata,1778
araneaphalangium undata,1778
ostrea undata,1778
cantharis undatobifasciata,1778
echinocorytes undosa,1778
venus undulata,1778
spatangus unicolor,1778
chrysomela unifasciata,1778
cochlea unifasciata,1778
coccus uva,1778
lepus variabilis,1778
cidaris variegata,1778
helix versicolor,1778
echinocyamus verticecentrali,1778
pectunculus vetula,1778
pinna vexillum,1778
echinocyamus vicia,1778
chrysomela vicies,1778
chrysomela viciesmaculata,1778
cidaris violacea,1778
cochlea virgata,1778
actinia virginea,1778
cantharis viridiaurea,1778
cidaris viridiflava,1778
buprestis viridioenea,1778
aranea viridissima,1778
anomia vitrea,1778
helix vitrea,1778
cuneus vittatus,1778
buccinum vulgare,1778
cardium vulgare,1778
dentale vulgare,1778
balanus vulgaris,1778
cochlea vulgaris,1778
echinites vulgaris,1778
haliotis vulgaris,1778
mytilus vulgaris,1778
ostrea vulgaris,1778
patella vulgaris,1778
pecten vulgaris,1778
pulex vulgaris,1778
murex vulpinus,1778
yerbua,1778
trigonella zonaria,1778
carabus abbreviatus,1779
mus accedula,1779
sphinx achemenides,1779
phalaena acron,1779
sphinx acteus,1779
ascaris acus,1779
musca adiaphora,1779
sphinx aeas,1779
papilio agathina,1779
papilio alcionea,1779
mus alliarius,1779
lacerta alligator,1779
sphinx almon,1779
phalaena alphea,1779
marmota alpina,1779
phalaena amando,1779
phalaena amasis,1779
phalaena amata,1779
phalaena ammonia,1779
papilio amphimedon,1779
papilio amphione,1779
papilio amphrysus,1779
papilio amyclas,1779
papilio amycus,1779
phalaena amynta,1779
anarrhichas,1779
papilio anceus,1779
sphinx anchemolus,1779
curculio anchoraco,1779
papilio angolanus,1779
chaos anguillula,1779
taenia anseris,1779
papilio antheus,1779
isis antipathes,1779
phalaena apidania,1779
apodes,1779
phalaena apollonia,1779
papilio archesia,1779
mus arctomys,1779
papilio arctophonus,1779
papilio arctophylax,1779
papilio argalus,1779
papilio argante,1779
papilio argester,1779
papilio argiphontes,1779
papilio argopoeus,1779
papilio argyra,1779
papilio argyrobius,1779
papilio argyrocapelus,1779
papilio argyrocopus,1779
papilio argyroela,1779
papilio argyrognomon,1779
papilio argyrophalara,1779
papilio argyrophylax,1779
papilio argyrotoxus,1779
phalaena armida,1779
mus arvalis,1779
encrinus asteria,1779
papilio astrarche,1779
papilio athene,1779
echinorhynchus attenuatus,1779
turbo attenuatus,1779
hydra aurantia,1779
glis avellanarius,1779
lophius barbatus,1779
papilio baton,1779
papilio bellargus,1779
papilio berenice,1779
buprestis berolinensis,1779
mus betulinus,1779
scarabaeus bicornis,1779
carabus biguttatus,1779
elaphrus biguttatus,1779
phalangium bilineatum,1779
curculio bohemus,1779
encrinus boltenii,1779
tabanus borealis,1779
patella borniana,1779
papilio bronte,1779
papilio brutus,1779
papilio byzas,1779
papilio byze,1779
papilio byzene,1779
papilio byzenus,1779
apis caementaria,1779
mus cafer,1779
bos caffer,1779
sphinx caffra,1779
sphinx camertus,1779
papilio candaon,1779
arca candida,1779
papilio candiope,1779
papilio candybus,1779
phalaena canente,1779
papilio capanea,1779
mus capensis,1779
mus caraco,1779
anas carbo,1779
phalaena cassandra,1779
papilio cassiopea,1779
papilio catilla,1779
sphinx caunus,1779
sphinx cecrops,1779
papilio celia,1779
sphinx cepheus,1779
phalaena cephise,1779
sphinx choerilus,1779
papilio cillene,1779
musca cimecoides,1779
tipula cinerea,1779
papilio cinna,1779
papilio cinyra,1779
papilio cissia,1779
cricetus citellus,1779
marmota citellus,1779
camelus clacma,1779
papilio cocala,1779
papilio columbina,1779
papilio cometes,1779
sphinx convolvuli,1779
alcyonium coriaceum,1779
patella cornea,1779
gammarus corniger,1779
voluta coronata,1779
papilio corydonis,1779
taenia crassa,1779
cricetus,1779
lemur cucang,1779
papilio cupavia,1779
phalaena cupentia,1779
bulla cylindrica,1779
phalaena cyllaria,1779
tenthredo cynipiformis,1779
papilio damoetas,1779
papilio damon,1779
sphinx danum,1779
papilio daphnis,1779
mus decumanus,1779
patella deflexa,1779
ichneumon dentatus,1779
phalangium diadema,1779
papilio dimus,1779
papilio dorothea,1779
papilio drusilla,1779
papilio drusius,1779
carabus dubius,1779
elater dubius,1779
papilio dyndimene,1779
sphinx eagrus,1779
echinorhynchos,1779
echynoryngus,1779
papilio elis,1779
papilio emilia,1779
phalaena emmedonia,1779
papilio empedocles,1779
mus empetra,1779
sphinx enagrus,1779
encrinus,1779
papilio endymion,1779
papilio enotrea,1779
phalaena entella,1779
papilio epaea,1779
papilio epaphia,1779
papilio erithonius,1779
papilio erminia,1779
papilio erosine,1779
sciurus erythraeus,1779
gammarus esca,1779
glis esculentus,1779
sphinx eson,1779
papilio etolus,1779
papilio eudoxia,1779
sphinx eumolphus,1779
papilio eurisus,1779
papilio eurita,1779
papilio evadne,1779
papilio evagete,1779
papilio evarete,1779
ostrea excavata,1779
phalaena fabia,1779
rhagio fasciatus,1779
sphinx fegeus,1779
cygnus ferus,1779
trochus filosus,1779
gobius flavescens,1779
phalaena flavia,1779
cucujus flavipes,1779
curculio formosus,1779
acarus fucorum,1779
mus furunculus,1779
fusus,1779
patella galeata,1779
papilio genutia,1779
simia gibbon,1779
mus glis,1779
anas glocitans,1779
phalaena gootenaria,1779
sphinx gordius,1779
murex granosus,1779
cerambyx granulatus,1779
mus gregalis,1779
pennatula grisea,1779
phalaena grynea,1779
motacilla gularis,1779
trochilus gularis,1779
sphinx hannibal,1779
astacus harengum,1779
papilio harmodius,1779
sphinx hasdrubal,1779
dytiscus hastatus,1779
papilio hegesia,1779
papilio heliodore,1779
papilio helius,1779
papilio helle,1779
phalaena hesperia,1779
papilio hippia,1779
papilio hippo,1779
papilio hippoclus,1779
papilio hipponoe,1779
astacus homari,1779
mus hudsonius,1779
taenia hydatidis,1779
papilio hylactor,1779
papilio hyperia,1779
aphis hypochaeridis,1779
sphinx hypparchus,1779
phalaena hyppasia,1779
phalaena hyrtaca,1779
mustela ichneumon,1779
papilio idas,1779
ignavus,1779
papilio ilicis,1779
papilio ilithya,1779
sphinx imaon,1779
papilio immaculatus,1779
curculio imperialis,1779
aranea impressa,1779
phalaena inara,1779
papilio inaria,1779
taenia infundibulum,1779
murex intertextus,1779
lumbricus intestinalis,1779
papilio iphita,1779
phalaena irene,1779
papilio isidora,1779
iynx,1779
papilio janias,1779
jaculus jerboa,1779
phalaena jucunda,1779
papilio juno,1779
lepas lacera,1779
papilio laja,1779
papilio lamis,1779
tenthredo lateralis,1779
papilio lausus,1779
marmota lemmus,1779
phalaena lemur,1779
papilio lenea,1779
sphinx leneus,1779
lepisina,1779
aplysia leporina,1779
papilio liberia,1779
pholas lignorum,1779
aphis ligustici,1779
phalaena lincea,1779
taenia lineata,1779
papilio lisianassa,1779
gammarus longicornis,1779
papilio mamers,1779
papio mandril,1779
cygnus mansvetus,1779
salmo maraena,1779
salmo maraenula,1779
papilio mardania,1779
papilio marianne,1779
cucullanus marinus,1779
papilio melanida,1779
sphinx melanthus,1779
viverra mellivora,1779
testudo membranacea,1779
papilio metellus,1779
papilio meton,1779
phalaena micilia,1779
papilio minor,1779
papilio minor,1779
papilio minos,1779
phalaena modesta,1779
phoca monachus,1779
phalangium morio,1779
phalaena mummia,1779
encrinus mylii,1779
sphinx myron,1779
patella mytilina,1779
cancer nasutus,1779
papilio nausithoe,1779
papilio nausithous,1779
papilio nautes,1779
phalaena nebulosa,1779
papilio nefte,1779
papilio nelo,1779
neritoides,1779
papilio nicippe,1779
papilio nise,1779
mus nitedula,1779
tatu novemcinctus,1779
phalaena numana,1779
papilio oceanus,1779
raja oculata,1779
sphinx oiclus,1779
papilio ortygnus,1779
acarus ovalis,1779
papilio pampholyge,1779
sphinx pan,1779
cercopithecus paniscus,1779
sphinx panopus,1779
sphinx paphus,1779
cimex parnassiae,1779
papilio pelasgus,1779
sphinx pelasgus,1779
acanthia pellucens,1779
arca pernula,1779
papilio petalus,1779
mus phaeus,1779
papilio phidon,1779
papilio philonome,1779
papilio philonomus,1779
papilio phlegia,1779
papilio phobus,1779
delphinus phocaena,1779
papilio phoebe,1779
phalaena phoronea,1779
stomatia phymotis,1779
papilio pierus,1779
papilio pigmalion,1779
mus pilorides,1779
lernaea pinnarum,1779
rana pipal,1779
papilio piranthus,1779
sphinx pluto,1779
papilio polibete,1779
sphinx polidamon,1779
carabus pollens,1779
papilio polycaon,1779
papilio polynice,1779
papilio polyphemus,1779
papilio polysperchon,1779
murex polytropus,1779
cavia porcellus,1779
coccus potentillae,1779
papilio proserpina,1779
papilio pseudolus,1779
cynips pseudoplatani,1779
elater punctatus,1779
patella pustulata,1779
sphinx pylas,1779
raia,1779
gadus raninus,1779
papilio remulia,1779
turbo reticulatus,1779
sphinx rhebus,1779
papilio rosalia,1779
anas ruficeps,1779
tritoma rufipes,1779
mactra rugosa,1779
rhinoceros rugosus,1779
mus rutilus,1779
papilio salacia,1779
phalaena sanguinolenta,1779
papilio sao,1779
mus saxatilis,1779
coccus scleranti,1779
aranea scopulorum,1779
limax scopulorum,1779
cancer scorpio,1779
tipula secalis,1779
elater segetis,1779
papilio semire,1779
falco serpentarius,1779
papilio sesostris,1779
moschus sibiricus,1779
raja sloani,1779
aphis solidaginis,1779
mus songarus,1779
chaos spermaticum,1779
patella spirata,1779
raja squatinoraia,1779
staphilynus,1779
patella stellata,1779
stomatia,1779
tinea stroemella,1779
tapir suillus,1779
testudo sulcata,1779
papilio sulpitia,1779
tubularia sultana,1779
phalaena sylla,1779
sylpha,1779
patella symetrica,1779
tenebrio talpa,1779
tapir,1779
dytiscus tardus,1779
phalaena tasima,1779
tatu,1779
papilio telegone,1779
papilio telegonus,1779
papilio teleius,1779
patella tessellata,1779
papilio thamyra,1779
scarabaeus thebanus,1779
papilio thermopyle,1779
papilio thersanon,1779
papilio thyonneus,1779
papilio thysbe,1779
sphinx tiburtus,1779
phalaena tigris,1779
fringilla torquata,1779
mus torquatus,1779
tragulus,1779
lepas trapezium,1779
trichecus,1779
echinorhynchos trichurus,1779
taenia tricuspidata,1779
ignavus tridactulus,1779
serpula tridentata,1779
sphinx triptolemus,1779
tenthredo tristis,1779
papilio trivia,1779
phalaena trofonia,1779
nereis tubiformis,1779
vorticella tubulosa,1779
mus typhlus,1779
mus vagus,1779
papilio valentina,1779
astacus varius,1779
papilio venulius,1779
papilio vertumnus,1779
phalaena vestalis,1779
phalaena vesulia,1779
murex vibicinus,1779
camelus vicunna,1779
tenthredo violacea,1779
ascidia virens,1779
phalaena viridana,1779
sciurus volucella,1779
papilio vulcanus,1779
cricetus vulgaris,1779
papilio vulgaris,1779
raja vulgaris,1779
acarus zosterae,1779
oniscus abyssinus,1780
acanthrus,1780
phalaena achatina,1780
papilio actaea,1780
cancer aculeatus,1780
oniscus aculeatus,1780
phalaena adjutrix,1780
papilio adonia,1780
papilio adrastus,1780
papilio aeilus,1780
vesica aerea,1780
papilio aeropus,1780
buprestis aeruginosa,1780
papio aethiops,1780
myrmecophaga africana,1780
bos africanus,1780
papilio agatha,1780
phalaena aglaura,1780
papilio agnes,1780
phalaena agresta,1780
papilio agrotera,1780
physeter albicans,1780
turbo albulus,1780
taenia alcae,1780
papilio alceae,1780
phalaena alcinoe,1780
papilio alcmon,1780
phalaena alope,1780
phalaena altrix,1780
philander amboinensis,1780
bos americanus,1780
ursus americanus,1780
phalaena amilia,1780
phalaena amoenita,1780
papilio amosis,1780
papilio amphidamas,1780
papilio amphion,1780
taenia anatis,1780
phalaena ancea,1780
papilio andremona,1780
phalaena androgea,1780
papilio anna,1780
cellepora annulata,1780
tapir anta,1780
nereis aphroditoides,1780
papilio arcensia,1780
phalaena archesia,1780
argonauta arctica,1780
curculio arcticus,1780
salmo arcticus,1780
mus arenaceus,1780
oniscus arenarius,1780
papilio arete,1780
aries,1780
papilio aristeus,1780
papilio arogeus,1780
papilio arsilache,1780
papilio assaricus,1780
papilio astarte,1780
papilio astylos,1780
papilio asychis,1780
tipula atra,1780
papilio atymnus,1780
papilio atys,1780
papilio aulestes,1780
sphinx auratus,1780
vespertilio auribus,1780
lucernaria auricula,1780
papilio aurora,1780
phalaena avia,1780
canis avicularius,1780
papilio basilia,1780
papilio basilissa,1780
cebus beelzebul,1780
papilio belisama,1780
phalaena bellatrix,1780
papilio beon,1780
phalaena bifasciata,1780
ascaris bifida,1780
cancer bipes,1780
phalaena bitia,1780
papilio blandina,1780
serphus brachypterus,1780
lutra brasiliensis,1780
philander brasiliensis,1780
papilio brigitta,1780
phalaena brotea,1780
papilio broteas,1780
didelphis bruinii,1780
phalaena brunnea,1780
papilio bubastus,1780
papilio busirus,1780
mya byssifera,1780
nereis caeca,1780
phalaena calchas,1780
giraffa camelopardalis,1780
papilio camerta,1780
papilio camillus,1780
medusa campanula,1780
talpa canadensis,1780
serpula cancellata,1780
papilio candida,1780
pediculus canis,1780
phalaena canitia,1780
myrmecophaga capensis,1780
phalaena capensis,1780
gordius capillaris,1780
lumbricus capitatus,1780
phalaena caranea,1780
papilio caranus,1780
sorex carinatus,1780
mus castoreus,1780
cataphractus,1780
papilio catillus,1780
viverra caudivolvola,1780
cauia,1780
phalaena cedica,1780
papilio chloris,1780
phalaena chorinea,1780
papilio chromus,1780
myoxus chrysurus,1780
oniscus cicada,1780
spongia ciliata,1780
cardium ciliatum,1780
tritonium ciliatum,1780
amphitrite cincinnata,1780
gordius cinctus,1780
phalaena circe,1780
pediculus clangulae,1780
phalaena clara,1780
papilio clarissa,1780
phalaena clelia,1780
musca cloacaris,1780
phalaena cocala,1780
certhia coccinea,1780
coelogaster,1780
papilio coenobita,1780
papilio columella,1780
ascidia complanata,1780
spongia compressa,1780
trochus conchyliophorus,1780
sorex constrictus,1780
sphinx coras,1780
papilio core,1780
papilio corythallia,1780
papilio creteus,1780
papilio crinisus,1780
hyaena crocata,1780
papilio crolus,1780
papilio crotopus,1780
aranea crucigera,1780
beroe cucumis,1780
phalaena cunina,1780
sertularia cupressoides,1780
ichneumon cursor,1780
oniscus cuspidatus,1780
phalaena cyane,1780
phalaena damonia,1780
danaus,1780
papilio daphne,1780
phalaena dares,1780
lepus dauricus,1780
papilio delia,1780
papilio delia,1780
diodon,1780
dipus,1780
phalaena dolobrata,1780
phalaena domina,1780
phalaena dominia,1780
papilio dyndima,1780
phalaena dyndyma,1780
sphinx eacus,1780
phalaena ebalea,1780
papilio ebusa,1780
papilio ebusus,1780
papilio egista,1780
phalaena eleonora,1780
papilio eleusina,1780
buprestis elongata,1780
papilio epaphus,1780
papilio epitus,1780
papilio eponina,1780
phalaena epopea,1780
taenia equi,1780
papilio equicola,1780
strongylus equinus,1780
phalaena erechtea,1780
phalaena erota,1780
phalaena erycata,1780
taenia erythrini,1780
papilio euclea,1780
papilio eumedon,1780
papilio eumelia,1780
papilio eumolphus,1780
phalaena euristea,1780
papilio euritea,1780
papilio evander,1780
papilio exadeus,1780
papilio fantasos,1780
sphinx faro,1780
papilio fatima,1780
phalaena filia,1780
tubipora flabellaris,1780
nereis flava,1780
phalaena flavaria,1780
phalaena flavata,1780
papilio flegyas,1780
papilio flora,1780
papilio flyas,1780
mustela fogna,1780
holothuria forcipata,1780
phalaena formosante,1780
tritonium fornicatum,1780
venus fragilis,1780
papilio francisca,1780
cicada fusca,1780
phalaena fusca,1780
planaria fusca,1780
falco fuscus,1780
taenia gasterostei,1780
papilio gelanor,1780
papilio genoveva,1780
manati gigas,1780
murex gigas,1780
mus glareolus,1780
phalaena glauca,1780
gordius globicola,1780
mammaria globulus,1780
antilope gnou,1780
tabanus groenlandicus,1780
homo groenlandus,1780
pycnogonum grossipes,1780
pediculus grylle,1780
psittacus guineensis,1780
gulo,1780
buprestis haemhorroidalis,1780
buprestis haemorrhoidalis,1780
sphinx heber,1780
trochus helicinus,1780
heliconius,1780
phalaena helima,1780
papilio hera,1780
phalaena herilia,1780
sphinx hippotes,1780
canis hispanicus,1780
flustra hispida,1780
cancer homaroides,1780
phalaena honesta,1780
hystrix hudsonis,1780
dipus hudsonius,1780
podura humicola,1780
hyena,1780
phalaena hylea,1780
phalaena hypermnestra,1780
sphinx hypothous,1780
scolopax iardreka,1780
phalaena idonea,1780
phalaena idonea,1780
sciurus inauris,1780
nereis incisa,1780
actinia intestinalis,1780
gordius intestinalis,1780
papilio irenea,1780
papilio ismare,1780
phalaena javana,1780
mustela javanica,1780
phalaena jo,1780
papilio jolaus,1780
papilio juliana,1780
papilio junia,1780
papilio justina,1780
didelphis karkinophaga,1780
didelphis kenguru,1780
cercopithecus kephalopterus,1780
papilio l-album,1780
papilio labdacus,1780
gordius lacteolus,1780
phalaena lactucina,1780
papilio ladon,1780
papilio ladon,1780
holothuria laevis,1780
lagomys,1780
papilio lajus,1780
papilio lamis,1780
phalaena lanata,1780
papilio larydas,1780
vespertilio lasiopterus,1780
phoca leonia,1780
sorex leucodon,1780
phalaena liberia,1780
papilio liger,1780
papilio linus,1780
papilio lisandra,1780
pycnogonum littorale,1780
sphinx livornica,1780
nereis longa,1780
lemur lori,1780
sphinx lucetius,1780
papilio lucina,1780
papilio ludovica,1780
cynips lugdunaea,1780
sabella lumbricalis,1780
phalaena luminosa,1780
lemur macaro,1780
simia madarogaster,1780
papilio maior,1780
papilio mamerta,1780
manatus,1780
papilio mandana,1780
viverra manguste,1780
papilio manilia,1780
phalaena marcellina,1780
nais marina,1780
papilio megacles,1780
papilio melander,1780
papilio melander,1780
phalaena melanthus,1780
canis melitaeus,1780
mellivora,1780
canis melomelas,1780
phalaena membliaria,1780
papilio menalcas,1780
papilio menander,1780
sphinx menephron,1780
papilio meone,1780
sphinx meones,1780
papilio mesentina,1780
phalaena metea,1780
phalaena mezentia,1780
papilio micylus,1780
lutra minima,1780
aphrodita minuta,1780
holothuria minuta,1780
venus minuta,1780
sorex minutissimus,1780
phalaena mirabilis,1780
phalaena modesta,1780
phalaena molina,1780
monoceros,1780
bos moschatus,1780
cercopithecus mulatta,1780
taenia multiceps,1780
cervus muntjak,1780
papilio mycena,1780
papilio mylitta,1780
papilio myncea,1780
myoxus,1780
curculio napobrassicae,1780
musca napobrassicae,1780
nasua,1780
phalaena nausica,1780
papilio nedymond,1780
sphinx neoptolemus,1780
phalaena neptis,1780
phalaena nesea,1780
phalaena netrix,1780
phalaena nina,1780
myoxus nitela,1780
cellepora nitida,1780
phalaena nitida,1780
phalaena nitocris,1780
phalaena nivea,1780
phalaena nobilitella,1780
actinia nodosa,1780
phalaena nuda,1780
papilio numata,1780
phalaena nutrix,1780
sphinx nycteus,1780
nymphalis,1780
phalaena obscura,1780
phalaena obsoleta,1780
phalaena ocellata,1780
phalaena oculata,1780
cancer oculatus,1780
papilio odilia,1780
sphinx oenotrus,1780
equus onager,1780
phalaena oo,1780
planaria operculata,1780
sphinx opheltes,1780
papilio orcus,1780
papilio orestes,1780
mus orientalis,1780
phalaena orithea,1780
phalaena ornata,1780
phalaena orosia,1780
papilio orus,1780
papilio otrea,1780
papilio otreus,1780
papilio ouranus,1780
beroe ovum,1780
papilio paedotrophos,1780
papilio palegon,1780
papilio pamela,1780
sphinx pandion,1780
phalaena panthona,1780
papilio panthonus,1780
helix paradoxa,1780
madrepora parasitica,1780
papilio pasinuntia,1780
cavia patagonum,1780
tubularia pectinata,1780
cancer pedatus,1780
tubipora penicillata,1780
taenia percae,1780
phalaena peregrina,1780
sciurus persicus,1780
phalanger,1780
cancer phalangium,1780
papilio phalanthus,1780
papilio phedima,1780
papilio pherecydes,1780
papilio phicomone,1780
papilio philoxenus,1780
ascaris phocae,1780
taenia phocae,1780
taenia phocarum,1780
lucernaria phrygia,1780
papilio phryxa,1780
sphinx pilosellae,1780
phalaena pilumnia,1780
sertularia pinaster,1780
papilio pireta,1780
phalaena pithyocampa,1780
turbo planorbis,1780
pleuronectes platessoides,1780
plebejus,1780
phalaena polita,1780
phalaena politia,1780
cebus polykomos,1780
simia porcaria,1780
cervus porcinus,1780
papilio porphyria,1780
papilio postverta,1780
procavia,1780
procebus,1780
procyon,1780
papilio pronoe,1780
phalaena psamas,1780
phalaena pueritia,1780
phalaena punctata,1780
blennius punctatus,1780
sphinx pyracmon,1780
nais quadricuspida,1780
buprestis quercus,1780
papilio quiteria,1780
hydra ramosa,1780
phalaena regina,1780
papilio renata,1780
lumbricus rivalis,1780
salmo rivalis,1780
nereis rosea,1780
papilio rosina,1780
patella rubella,1780
sorex russulus,1780
phalaena rustica,1780
papilio sabina,1780
taenia salmonis,1780
phalaena schneideriana,1780
cottus scorpioides,1780
oniscus scorpioides,1780
sphinx scyron,1780
bos scythicus,1780
papilio selene,1780
serpula semilunium,1780
phalaena sergilia,1780
serphus,1780
oniscus serratus,1780
phalaena servia,1780
papilio severus,1780
gulo sibiricus,1780
papilio silenus,1780
phalaena simois,1780
acanthrus sipunculoides,1780
papilio sophonisba,1780
mus soricinus,1780
phalaena soror,1780
phalaena spadix,1780
actinia spectabilis,1780
pycnogonum spinipes,1780
asterias spongiosa,1780
monodon spurius,1780
salmo stagnalis,1780
serpula stellaris,1780
phalaena stenelea,1780
phalaena sterope,1780
phalaena stolliana,1780
stomachida,1780
hyaena striata,1780
oniscus stroemianus,1780
strongylus,1780
mustela subfusca,1780
antilope subgutturosa,1780
planaria subulata,1780
papilio sulpitia,1780
sorex surinamensis,1780
antilope sylvatica,1780
papilio syncellus,1780
cercopithecus talepoin,1780
erinaceus tanrec,1780
tarsius,1780
taurus,1780
phalaena tedea,1780
papilio telegonus,1780
erinaceus tendrac,1780
sorex tetragonurus,1780
papilio thallus,1780
phalaena tharis,1780
papilio thasus,1780
papilio thersander,1780
thrichechus,1780
phalaena timais,1780
papilio tiphys,1780
phalaena titea,1780
phalaena tomyris,1780
taenia tordae,1780
pediculus tringae,1780
papilio triopas,1780
papilio tryxus,1780
ascidia tuberculum,1780
ascaris tubifera,1780
tubularia,1780
papilio tullus,1780
phalaena tyres,1780
papilio udalrica,1780
fasciola umblae,1780
phalaena umminia,1780
phalaena uxoria,1780
papilio valentina,1780
papilio vaualbum,1780
phalaena venus,1780
phalaena veronica,1780
vesica,1780
sphinx vespertilio,1780
phalaena vidua,1780
ascidia villosa,1780
phalaena virbia,1780
dama virginiana,1780
phalaena virginiaria,1780
phalaena viridata,1780
ophidium viride,1780
tritonium viridulum,1780
phalaena vitrea,1780
serpula vitrea,1780
musca vivax,1780
viverra zeilonensis,1780
papilio zelmira,1780
phalaena zerbina,1780
canis zerda,1780
papilio zingha,1780
phalaena abasia,1781
melolontha abbreviata,1781
nitidula abbreviata,1781
bruchus abdominalis,1781
crioceris abdominalis,1781
papilio abebalus,1781
phalaena abietaria,1781
ichneumon abrogator,1781
silpha abscissa,1781
hydrachna abstergens,1781
acarus acarorum,1781
phalaena acharia,1781
zygaena achemon,1781
papilio acheus,1781
sphinx achilleae,1781
papilio achine,1781
ascaris acicularis,1781
taenia acutissima,1781
papilio ada,1781
adimonia,1781
acarus adpendiculatus,1781
papilio aecas,1781
papilio aegisthus,1781
papilio aegon,1781
lucanus aeneus,1781
scarabaeus aeneus,1781
bombylius aequalis,1781
papilio aesopus,1781
vespa aestuans,1781
bibio aethiops,1781
cicada aethyops,1781
carabus affinis,1781
curculio affinis,1781
apis africana,1781
cimex agilis,1781
melolontha agricola,1781
zygaena agrius,1781
apis agrorum,1781
acarus alaudae,1781
curculio albator,1781
phalaena albertiana,1781
cimex albicollis,1781
noctua albicollis,1781
sirex albicornis,1781
