taxon,year
tipula annulata,1758
cimex annulatus,1758
coluber annulatus,1758
curculio annulatus,1758
turbo annulatus,1758
cypraea annulus,1758
anomia,1758
salmo anostomus,1758
anas anser,1758
pediculus anseris,1758
tabanus antarcticus,1758
sertularia antennina,1758
labrus anthias,1758
ardea antigone,1758
papilio antilochus,1758
papilio antiopa,1758
gorgonia antipathes,1758
phalaena antiqua,1758
arca antiquata,1758
chama antiquata,1758
murex antiquus,1758
murex anus,1758
coccus aonidum,1758
papilio aonis,1758
simia apedia,1758
simia apella,1758
zeus aper,1758
acarus aphidioides,1758
ichneumon aphidum,1758
aphis,1758
aphrodita,1758
cyprinus aphya,1758
gobius aphya,1758
attelabus apiarius,1758
merops apiaster,1758
pediculus apis,1758
apis,1758
falco apivorus,1758
paradisaea apoda,1758
papilio apollo,1758
ichneumon appendigaster,1758
charadrius apricarius,1758
gryllus apricarius,1758
phalaena aprilina,1758
cicada aptera,1758
cimex apterus,1758
curculio apterus,1758
hirundo apus,1758
monoculus apus,1758
aranea aquatica,1758
cicindela aquatica,1758
lacerta aquatica,1758
leptura aquatica,1758
podura aquatica,1758
silpha aquatica,1758
acarus aquaticus,1758
canis aquaticus,1758
gordius aquaticus,1758
oniscus aquaticus,1758
rallus aquaticus,1758
scarabaeus aquaticus,1758
sorex aquaticus,1758
raja aquila,1758
gryllus aquilinus,1758
pelecanus aquilus,1758
cypraea arabica,1758
cimex arabs,1758
otis arabs,1758
ramphastos aracari,1758
asterias aranciaca,1758
aranea,1758
cancer araneus,1758
sorex araneus,1758
psittacus ararauna,1758
curculio arator,1758
alauda arborea,1758
anas arborea,1758
podura arborea,1758
rana arborea,1758
alcyonium arboreum,1758
helix arbustorum,1758
musca arbustorum,1758
phalaena arbutella,1758
arca,1758
alca arctica,1758
colymbus arcticus,1758
ursus arctos,1758
cancer arctus,1758
leptura arcuata,1758
musca arcuata,1758
chaetodon arcuatus,1758
buccinum arcularia,1758
ardea,1758
pediculus ardeae,1758
mya arenaria,1758
serpula arenaria,1758
sphex arenaria,1758
cimex arenarius,1758
tubipora arenosa,1758
buccinum areola,1758
madrepora areolata,1758
curculio argentatus,1758
perca argentea,1758
sertularia argentea,1758
chaetodon argenteus,1758
argentina,1758
coluber arges,1758
sphex argillacea,1758
gordius argillaceus,1758
papilio argiolus,1758
argonauta argo,1758
argonauta,1758
cypraea argus,1758
papilio argus,1758
curculio argyreus,1758
turbo argyrostomus,1758
ovis aries,1758
leptura arietis,1758
ichneumon ariolator,1758
papilio arion,1758
oniscus armadillo,1758
chrysomela armoraciae,1758
musca arnicae,1758
scolopax arquata,1758
papilio arsalte,1758
chaetodon aruanus,1758
murex aruanus,1758
aranea arundinacea,1758
turdus arundinaceus,1758
alauda arvensis,1758
vespa arvensis,1758
ascaris,1758
silurus ascita,1758
lernaea asellina,1758
cypraea asellus,1758
oniscus asellus,1758
trochilus aser,1758
columba asiatica,1758
sphex asiatica,1758
talpa asiatica,1758
trigla asiatica,1758
gymnotus asiaticus,1758
homo asiaticus,1758
oniscus asilus,1758
asilus,1758
pediculus asini,1758
haliotis asinina,1758
equus asinus,1758
strix asio,1758
silurus asotus,1758
chrysomela asparagi,1758
murex asper,1758
perca asper,1758
coluber aspis,1758
cyprinus aspius,1758
silurus aspredo,1758
ichneumon assectator,1758
papilio assimilis,1758
astacolithus,1758
cancer astacus,1758
astacus,1758
asterias,1758
papilio asterie,1758
loxia astrild,1758
madrepora astroites,1758
papilio atalanta,1758
asilus ater,1758
cimex ater,1758
curculio ater,1758
limax ater,1758
parus ater,1758
strombus ater,1758
curculio aterrimus,1758
papilio athemon,1758
atherina,1758
phalaena atlas,1758
scarabaeus atlas,1758
phalaena atomaria,1758
fulica atra,1758
nepa atra,1758
podura atra,1758
tenthredo atra,1758
emberiza atrata,1758
formica atrata,1758
phalaena atrata,1758
silpha atrata,1758
tipula atrata,1758
echinus atratus,1758
motacilla atricapilla,1758
carabus atricapillus,1758
larus atricilla,1758
diodon atringa,1758
phalaena atriplicis,1758
coluber atropos,1758
sphinx atropos,1758
coluber atrox,1758
attelabus,1758
leptura attenuata,1758
gracula atthis,1758
phalaena aulica,1758
coluber aulicus,1758
conus aulicus,1758
vultur aura,1758
cicada aurata,1758
lacerta aurata,1758
sparus aurata,1758
sphex aurata,1758
cerambyx auratus,1758
cuculus auratus,1758
cyprinus auratus,1758
scarabaeus auratus,1758
coracias aurea,1758
parus aureola,1758
canis aureus,1758
forficula auricularia,1758
helix auricularia,1758
turbo auriscalpium,1758
strombus aurisdianae,1758
conus aurisiacus,1758
bulla aurisjudae,1758
bulla aurismidae,1758
anomia aurita,1758
cicada aurita,1758
medusa aurita,1758
colymbus auritus,1758
labrus auritus,1758
vespertilio auritus,1758
coluber aurora,1758
psittacus aurorae,1758
scorpio australis,1758
anas autumnalis,1758
psittacus autumnalis,1758
phalaena avellana,1758
mus avellanarius,1758
phalaena aversata,1758
canis avicular,1758
aranea avicularia,1758
hippobosca avicularia,1758
sertularia avicularia,1758
recurvirostra avosetta,1758
simia aygula,1758
lacerta azurea,1758
murex babylonius,1758
sus babyrussa,1758
acarus baccarum,1758
cimex baccarum,1758
curculio bacchus,1758
camelus bactrianus,1758
anas bahamensis,1758
cerambyx bajulus,1758
balaena,1758
balanites,1758
lepas balanus,1758
tellina balaustina,1758
balistes,1758
cyprinus ballerus,1758
elater balteatus,1758
helix balthica,1758
tellina balthica,1758
helix barbara,1758
mustela barbara,1758
mutilla barbara,1758
patella barbara,1758
asilus barbarus,1758
curculio barbarus,1758
falco barbarus,1758
syngnathus barbarus,1758
tenebrio barbarus,1758
barbarus,1758
arca barbata,1758
corallina barbata,1758
cobitis barbatula,1758
ophidion barbatum,1758
gadus barbatus,1758
mullus barbatus,1758
mytilus barbatus,1758
vultur barbatus,1758
cyprinus barbus,1758
papilio bares,1758
gracula barita,1758
lacerta basiliscus,1758
pelecanus bassanus,1758
acarus batatas,1758
phalaena batis,1758
raja batis,1758
silurus batrachus,1758
cerambyx batus,1758
nautilus beccarii,1758
ichneumon bedeguaris,1758
belemnites,1758
sphinx belis,1758
phalaena bella,1758
esox bellone,1758
corvus benghalensis,1758
loxia benghalensis,1758
picus benghalensis,1758
rallus benghalensis,1758
hydra berberina,1758
phalaena bergmanniana,1758
cancer bernhardus,1758
